Period,AccountCode,AccountName,Type,Amount
2024-10-01,4000,Revenue,Revenue,381958.38
2024-10-01,5000,COGS - Merchandise,COGS,-208121.54
2024-10-01,5100,COGS - Shipping,COGS,-22774.19
2024-10-01,5200,COGS - Platform Fees,COGS,-24519.6
2024-10-01,6000,OPEX - Advertising,OPEX,-24782.04
2024-10-01,6100,OPEX - Salaries,OPEX,-37980.71
2024-10-01,6200,OPEX - Rent,OPEX,-6220.63
2024-10-01,6300,OPEX - Utilities,OPEX,-1363.73
2024-10-01,6350,OPEX - Tools & SaaS,OPEX,-827.63
2024-10-01,6400,OPEX - Logistics Overhead,OPEX,-1897.51
2024-10-01,8000,Taxes - Income/Turnover,Taxes,-29836.56
2024-11-01,4000,Revenue,Revenue,449302.07
2024-11-01,5000,COGS - Merchandise,COGS,-243430.83
2024-11-01,5100,COGS - Shipping,COGS,-26596.77
2024-11-01,5200,COGS - Platform Fees,COGS,-28823.19
2024-11-01,6000,OPEX - Advertising,OPEX,-32560.22
2024-11-01,6100,OPEX - Salaries,OPEX,-38080.27
2024-11-01,6200,OPEX - Rent,OPEX,-6528.03
2024-11-01,6300,OPEX - Utilities,OPEX,-1073.94
2024-11-01,6350,OPEX - Tools & SaaS,OPEX,-1040.88
2024-11-01,6400,OPEX - Logistics Overhead,OPEX,-1965.08
2024-11-01,8000,Taxes - Income/Turnover,Taxes,-34376.2
2024-12-01,4000,Revenue,Revenue,489073.54000000004
2024-12-01,5000,COGS - Merchandise,COGS,-267066.09
2024-12-01,5100,COGS - Shipping,COGS,-28189.81
2024-12-01,5200,COGS - Platform Fees,COGS,-30975.53
2024-12-01,6000,OPEX - Advertising,OPEX,-47723.78
2024-12-01,6100,OPEX - Salaries,OPEX,-39579.31
2024-12-01,6200,OPEX - Rent,OPEX,-6558.74
2024-12-01,6300,OPEX - Utilities,OPEX,-1368.75
2024-12-01,6350,OPEX - Tools & SaaS,OPEX,-776.55
2024-12-01,6400,OPEX - Logistics Overhead,OPEX,-1617.59
2024-12-01,8000,Taxes - Income/Turnover,Taxes,-35500.27
2025-01-01,4000,Revenue,Revenue,354882.15
2025-01-01,5000,COGS - Merchandise,COGS,-192916.98
2025-01-01,5100,COGS - Shipping,COGS,-20821.07
2025-01-01,5200,COGS - Platform Fees,COGS,-22859.54
2025-01-01,6000,OPEX - Advertising,OPEX,-21934.94
2025-01-01,6100,OPEX - Salaries,OPEX,-37301.32
2025-01-01,6200,OPEX - Rent,OPEX,-6433.21
2025-01-01,6300,OPEX - Utilities,OPEX,-1108.54
2025-01-01,6350,OPEX - Tools & SaaS,OPEX,-998.62
2025-01-01,6400,OPEX - Logistics Overhead,OPEX,-1714.05
2025-01-01,8000,Taxes - Income/Turnover,Taxes,-27476.04
2025-02-01,4000,Revenue,Revenue,359986.96
2025-02-01,5000,COGS - Merchandise,COGS,-196652.65
2025-02-01,5100,COGS - Shipping,COGS,-20867.24
2025-02-01,5200,COGS - Platform Fees,COGS,-22730.65
2025-02-01,6000,OPEX - Advertising,OPEX,-25644.53
2025-02-01,6100,OPEX - Salaries,OPEX,-38170.78
2025-02-01,6200,OPEX - Rent,OPEX,-6284.55
2025-02-01,6300,OPEX - Utilities,OPEX,-1320.88
2025-02-01,6350,OPEX - Tools & SaaS,OPEX,-772.37
2025-02-01,6400,OPEX - Logistics Overhead,OPEX,-2092.13
2025-02-01,8000,Taxes - Income/Turnover,Taxes,-27326.28
2025-03-01,4000,Revenue,Revenue,408126.21
2025-03-01,5000,COGS - Merchandise,COGS,-222744.09
2025-03-01,5100,COGS - Shipping,COGS,-23602.2
2025-03-01,5200,COGS - Platform Fees,COGS,-25957.7
2025-03-01,6000,OPEX - Advertising,OPEX,-37094.51
2025-03-01,6100,OPEX - Salaries,OPEX,-36794.86
2025-03-01,6200,OPEX - Rent,OPEX,-6203.31
2025-03-01,6300,OPEX - Utilities,OPEX,-1326.18
2025-03-01,6350,OPEX - Tools & SaaS,OPEX,-962.06
2025-03-01,6400,OPEX - Logistics Overhead,OPEX,-1937.4
2025-03-01,8000,Taxes - Income/Turnover,Taxes,-25968.42
2025-04-01,4000,Revenue,Revenue,384886.28
2025-04-01,5000,COGS - Merchandise,COGS,-211274.9
2025-04-01,5100,COGS - Shipping,COGS,-22206.75
2025-04-01,5200,COGS - Platform Fees,COGS,-24322.53
2025-04-01,6000,OPEX - Advertising,OPEX,-34967.23
2025-04-01,6100,OPEX - Salaries,OPEX,-36296.18
2025-04-01,6200,OPEX - Rent,OPEX,-6415.08
2025-04-01,6300,OPEX - Utilities,OPEX,-1046.35
2025-04-01,6350,OPEX - Tools & SaaS,OPEX,-1008.93
2025-04-01,6400,OPEX - Logistics Overhead,OPEX,-1873.98
2025-04-01,8000,Taxes - Income/Turnover,Taxes,-29680.47
2025-05-01,4000,Revenue,Revenue,367720.0
2025-05-01,5000,COGS - Merchandise,COGS,-199249.83
2025-05-01,5100,COGS - Shipping,COGS,-21837.65
2025-05-01,5200,COGS - Platform Fees,COGS,-22633.63
2025-05-01,6000,OPEX - Advertising,OPEX,-26930.31
2025-05-01,6100,OPEX - Salaries,OPEX,-36254.23
