Period,AccountCode,AccountName,Type,BudgetAmount
2024-10-01,4000,Revenue,Revenue,410099.59
2024-10-01,5000,COGS - Merchandise,COGS,-222083.23
2024-10-01,5100,COGS - Shipping,COGS,-24658.08
2024-10-01,5200,COGS - Platform Fees,COGS,-26589.77
2024-10-01,6000,OPEX - Advertising,OPEX,-25532.39
2024-10-01,6100,OPEX - Salaries,OPEX,-39896.07
2024-10-01,6200,OPEX - Rent,OPEX,-6511.11
2024-10-01,6300,OPEX - Utilities,OPEX,-1416.76
2024-10-01,6350,OPEX - Tools & SaaS,OPEX,-856.43
2024-10-01,6400,OPEX - Logistics Overhead,OPEX,-1980.06
2024-10-01,8000,Taxes - Income/Turnover,Taxes,-31243.22
2024-11-01,4000,Revenue,Revenue,484973.14
2024-11-01,5000,COGS - Merchandise,COGS,-260653.96
2024-11-01,5100,COGS - Shipping,COGS,-28674.53
2024-11-01,5200,COGS - Platform Fees,COGS,-30683.59
2024-11-01,6000,OPEX - Advertising,OPEX,-34802.68
2024-11-01,6100,OPEX - Salaries,OPEX,-40688.69
2024-11-01,6200,OPEX - Rent,OPEX,-6789.62
2024-11-01,6300,OPEX - Utilities,OPEX,-1127.52
2024-11-01,6350,OPEX - Tools & SaaS,OPEX,-1084.63
2024-11-01,6400,OPEX - Logistics Overhead,OPEX,-2046.42
2024-11-01,8000,Taxes - Income/Turnover,Taxes,-34439.6
2024-12-01,4000,Revenue,Revenue,536305.26
2024-12-01,5000,COGS - Merchandise,COGS,-285789.34
2024-12-01,5100,COGS - Shipping,COGS,-29657.35
2024-12-01,5200,COGS - Platform Fees,COGS,-32869.56
2024-12-01,6000,OPEX - Advertising,OPEX,-50889.33
2024-12-01,6100,OPEX - Salaries,OPEX,-41145.96
2024-12-01,6200,OPEX - Rent,OPEX,-6793.52
2024-12-01,6300,OPEX - Utilities,OPEX,-1436.61
2024-12-01,6350,OPEX - Tools & SaaS,OPEX,-830.46
2024-12-01,6400,OPEX - Logistics Overhead,OPEX,-1681.78
2024-12-01,8000,Taxes - Income/Turnover,Taxes,-36693.32
2025-01-01,4000,Revenue,Revenue,392392.19
2025-01-01,5000,COGS - Merchandise,COGS,-204396.6
2025-01-01,5100,COGS - Shipping,COGS,-22468.61
2025-01-01,5200,COGS - Platform Fees,COGS,-24338.81
2025-01-01,6000,OPEX - Advertising,OPEX,-23147.77
2025-01-01,6100,OPEX - Salaries,OPEX,-39365.62
2025-01-01,6200,OPEX - Rent,OPEX,-6764.08
2025-01-01,6300,OPEX - Utilities,OPEX,-1145.8
2025-01-01,6350,OPEX - Tools & SaaS,OPEX,-1061.94
2025-01-01,6400,OPEX - Logistics Overhead,OPEX,-1787.46
2025-01-01,8000,Taxes - Income/Turnover,Taxes,-27732.28
2025-02-01,4000,Revenue,Revenue,382466.89
2025-02-01,5000,COGS - Merchandise,COGS,-211133.31
2025-02-01,5100,COGS - Shipping,COGS,-22476.16
2025-02-01,5200,COGS - Platform Fees,COGS,-23882.26
2025-02-01,6000,OPEX - Advertising,OPEX,-26939.16
2025-02-01,6100,OPEX - Salaries,OPEX,-39661.72
2025-02-01,6200,OPEX - Rent,OPEX,-6635.27
2025-02-01,6300,OPEX - Utilities,OPEX,-1369.72
2025-02-01,6350,OPEX - Tools & SaaS,OPEX,-816.89
2025-02-01,6400,OPEX - Logistics Overhead,OPEX,-2187.26
2025-02-01,8000,Taxes - Income/Turnover,Taxes,-28606.15
2025-03-01,4000,Revenue,Revenue,435981.34
2025-03-01,5000,COGS - Merchandise,COGS,-236920.12
2025-03-01,5100,COGS - Shipping,COGS,-24889.44
2025-03-01,5200,COGS - Platform Fees,COGS,-28215.7
2025-03-01,6000,OPEX - Advertising,OPEX,-39509.12
2025-03-01,6100,OPEX - Salaries,OPEX,-38278.34
2025-03-01,6200,OPEX - Rent,OPEX,-6553.17
2025-03-01,6300,OPEX - Utilities,OPEX,-1409.32
2025-03-01,6350,OPEX - Tools & SaaS,OPEX,-1012.29
2025-03-01,6400,OPEX - Logistics Overhead,OPEX,-2036.57
2025-03-01,8000,Taxes - Income/Turnover,Taxes,-26282.45
2025-04-01,4000,Revenue,Revenue,410129.5
2025-04-01,5000,COGS - Merchandise,COGS,-229421.01
2025-04-01,5100,COGS - Shipping,COGS,-24116.9
2025-04-01,5200,COGS - Platform Fees,COGS,-26154.6
2025-04-01,6000,OPEX - Advertising,OPEX,-36490.44
2025-04-01,6100,OPEX - Salaries,OPEX,-37892.06
2025-04-01,6200,OPEX - Rent,OPEX,-6793.81
2025-04-01,6300,OPEX - Utilities,OPEX,-1115.29
2025-04-01,6350,OPEX - Tools & SaaS,OPEX,-1075.0
2025-04-01,6400,OPEX - Logistics Overhead,OPEX,-1988.66
2025-04-01,8000,Taxes - Income/Turnover,Taxes,-30633.26
2025-05-01,4000,Revenue,Revenue,391639.6
2025-05-01,5000,COGS - Merchandise,COGS,-210500.5
2025-05-01,5100,COGS - Shipping,COGS,-23714.42
2025-05-01,5200,COGS - Platform Fees,COGS,-24314.34
2025-05-01,6000,OPEX - Advertising,OPEX,-27748.13
2025-05-01,6100,OPEX - Salaries,OPEX,-37489.01
2025-05-01,6200,OPEX - Rent,OPEX,-6747.69
2025-05-01,6300,OPEX - Utilities,OPEX,-1164.2
2025-05-01,6350,OPEX - Tools & SaaS,OPEX,-1004.18
2025-05-01,6400,OPEX - Logistics Overhead,OPEX,-1980.33
2025-05-01,8000,Taxes - Income/Turnover,Taxes,-27243.44
2025-06-01,4000,Revenue,Revenue,414504.5
2025-06-01,5000,COGS - Merchandise,COGS,-217883.9
2025-06-01,5100,COGS - Shipping,COGS,-23803.36
2025-06-01,5200,COGS - Platform Fees,COGS,-24887.62
2025-06-01,6000,OPEX - Advertising,OPEX,-37560.13
2025-06-01,6100,OPEX - Salaries,OPEX,-40156.87
2025-06-01,6200,OPEX - Rent,OPEX,-6622.89
2025-06-01,6300,OPEX - Utilities,OPEX,-1367.52
2025-06-01,6350,OPEX - Tools & SaaS,OPEX,-1033.32
2025-06-01,6400,OPEX - Logistics Overhead,OPEX,-1933.63
2025-06-01,8000,Taxes - Income/Turnover,Taxes,-28876.12
2025-07-01,4000,Revenue,Revenue,408885.16
2025-07-01,5000,COGS - Merchandise,COGS,-218390.13
2025-07-01,5100,COGS - Shipping,COGS,-23699.08
2025-07-01,5200,COGS - Platform Fees,COGS,-25789.28
2025-07-01,6000,OPEX - Advertising,OPEX,-35895.23
2025-07-01,6100,OPEX - Salaries,OPEX,-40469.46
2025-07-01,6200,OPEX - Rent,OPEX,-6873.49
2025-07-01,6300,OPEX - Utilities,OPEX,-1243.38
2025-07-01,6350,OPEX - Tools & SaaS,OPEX,-795.59
2025-07-01,6400,OPEX - Logistics Overhead,OPEX,-1647.78
2025-07-01,8000,Taxes - Income/Turnover,Taxes,-30160.45
2025-08-01,4000,Revenue,Revenue,395515.6
2025-08-01,5000,COGS - Merchandise,COGS,-215709.54
2025-08-01,5100,COGS - Shipping,COGS,-23370.27
2025-08-01,5200,COGS - Platform Fees,COGS,-24684.13
2025-08-01,6000,OPEX - Advertising,OPEX,-23868.81
