Date,Type,Category,Amount,EndingCash
2024-10-01,Outflow,OPEX - Rent,-6220.63,5798.6600000000035
2024-10-01,Outflow,OPEX - Salaries,-37980.71,5798.6600000000035
2024-10-02,Inflow,Sales Payout T+1,2015.79,7814.450000000004
2024-10-03,Inflow,Sales Payout T+1,2263.9,10078.350000000006
2024-10-04,Inflow,Sales Payout T+1,1783.38,11861.730000000003
2024-10-05,Inflow,Sales Payout T+1,2073.67,13935.400000000001
2024-10-06,Inflow,Sales Payout T+1,2718.78,16654.18
2024-10-07,Inflow,Sales Payout T+1,2909.86,19564.04
2024-10-08,Inflow,Sales Payout T+1,2009.32,29636.54
2024-10-08,Inflow,Sales Payout T+7,8063.18,29636.54
2024-10-09,Inflow,Sales Payout T+1,2396.04,41088.19
2024-10-09,Inflow,Sales Payout T+7,9055.61,41088.19
2024-10-10,Outflow,OPEX - Tools & SaaS,-827.63,49738.64
2024-10-10,Inflow,Sales Payout T+1,2344.54,49738.64
2024-10-10,Inflow,Sales Payout T+7,7133.54,49738.64
2024-10-11,Inflow,Sales Payout T+1,1787.25,14885.589999999997
2024-10-11,Inflow,Sales Payout T+7,8294.66,14885.589999999997
2024-10-11,Outflow,Suppliers (COGS+Shipping),-44934.96,14885.589999999997
2024-10-12,Inflow,Sales Payout T+1,2277.89,28038.619999999995
2024-10-12,Inflow,Sales Payout T+7,10875.14,28038.619999999995
2024-10-13,Inflow,Sales Payout T+1,2193.57,41871.63
2024-10-13,Inflow,Sales Payout T+7,11639.44,41871.63
2024-10-14,Inflow,Sales Payout T+7,8037.29,52930.99
2024-10-14,Inflow,Sales Payout T+1,3022.07,52930.99
2024-10-15,Outflow,Advertising,-12391.02,52293.1
2024-10-15,Inflow,Sales Payout T+7,9584.17,52293.1
2024-10-15,Inflow,Sales Payout T+1,2168.96,52293.1
2024-10-16,Inflow,Sales Payout T+1,2735.73,64407.009999999995
2024-10-16,Inflow,Sales Payout T+7,9378.18,64407.009999999995
2024-10-17,Inflow,Sales Payout T+1,2107.94,73663.94
2024-10-17,Inflow,Sales Payout T+7,7148.99,73663.94
2024-10-18,Inflow,Sales Payout T+1,2324.46,33646.83999999999
2024-10-18,Inflow,Sales Payout T+7,9111.56,33646.83999999999
2024-10-18,Outflow,Suppliers (COGS+Shipping),-51453.12,33646.83999999999
2024-10-19,Inflow,Sales Payout T+1,2506.94,44928.05999999999
2024-10-19,Inflow,Sales Payout T+7,8774.28,44928.05999999999
2024-10-20,Inflow,Sales Payout T+7,12088.26,57834.67999999999
2024-10-20,Outflow,OPEX - Utilities,-1363.73,57834.67999999999
2024-10-20,Inflow,Sales Payout T+1,2182.09,57834.67999999999
2024-10-21,Inflow,Sales Payout T+1,2953.14,69463.68
2024-10-21,Inflow,Sales Payout T+7,8675.86,69463.68
2024-10-22,Inflow,Sales Payout T+1,2041.25,82447.84
2024-10-22,Inflow,Sales Payout T+7,10942.91,82447.84
2024-10-23,Inflow,Sales Payout T+1,2295.09,93174.69
2024-10-23,Inflow,Sales Payout T+7,8431.76,93174.69
2024-10-24,Inflow,Sales Payout T+1,2509.42,104981.95999999999
2024-10-24,Inflow,Sales Payout T+7,9297.85,104981.95999999999
2024-10-25,Outflow,OPEX - Logistics Overhead,-1897.51,60109.579999999994
2024-10-25,Inflow,Sales Payout T+1,2007.28,60109.579999999994
2024-10-25,Inflow,Sales Payout T+7,10027.77,60109.579999999994
2024-10-25,Outflow,Suppliers (COGS+Shipping),-55009.92,60109.579999999994
2024-10-26,Inflow,Sales Payout T+7,8728.35,70794.19
2024-10-26,Inflow,Sales Payout T+1,1956.26,70794.19
2024-10-27,Inflow,Sales Payout T+1,2703.32,85310.07999999999
2024-10-27,Inflow,Sales Payout T+7,11812.57,85310.07999999999
2024-10-28,Inflow,Sales Payout T+1,2276.65,95751.73
2024-10-28,Inflow,Sales Payout T+7,8165.0,95751.73
2024-10-29,Inflow,Sales Payout T+1,2140.56,107072.63
2024-10-29,Inflow,Sales Payout T+7,9180.34,107072.63
2024-10-30,Inflow,Sales Payout T+1,2289.27,107008.56
2024-10-30,Inflow,Sales Payout T+7,10037.68,107008.56
2024-10-30,Outflow,Advertising,-12391.02,107008.56
2024-10-31,Inflow,Sales Payout T+1,2418.35,117456.05
2024-10-31,Inflow,Sales Payout T+7,8029.14,117456.05
2024-11-01,Outflow,Suppliers (COGS+Shipping),-50770.21,31977.560000000012
2024-11-01,Outflow,OPEX - Salaries,-38080.27,31977.560000000012
2024-11-01,Inflow,Sales Payout T+1,2074.97,31977.560000000012
2024-11-01,Inflow,Sales Payout T+7,7825.05,31977.560000000012
2024-11-01,Outflow,OPEX - Rent,-6528.03,31977.560000000012
2024-11-02,Inflow,Sales Payout T+1,3374.94,46165.77000000001
2024-11-02,Inflow,Sales Payout T+7,10813.27,46165.77000000001
2024-11-03,Inflow,Sales Payout T+1,2864.06,58136.45000000001
2024-11-03,Inflow,Sales Payout T+7,9106.62,58136.45000000001
2024-11-04,Inflow,Sales Payout T+1,3326.8,70025.49000000002
2024-11-04,Inflow,Sales Payout T+7,8562.24,70025.49000000002
2024-11-05,Inflow,Sales Payout T+7,9157.07,81924.36000000002
2024-11-05,Inflow,Sales Payout T+1,2741.8,81924.36000000002
2024-11-06,Inflow,Sales Payout T+7,9673.38,94397.49000000002
2024-11-06,Inflow,Sales Payout T+1,2799.75,94397.49000000002
2024-11-07,Inflow,Sales Payout T+1,3504.52,106201.89000000001
