OrderID,OrderDate,Channel,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Revenue,COGS,ShippingCost,PlatformFee
1,2024-10-01,Website,212,1015,Beauty Item 4,Beauty,2,39.48,78.97,36.17,6.73,2.76
2,2024-10-01,Website,990,1010,Electronics Item 3,Electronics,1,134.54,134.54,90.82,5.14,4.71
3,2024-10-01,Website,959,1000,Accessories Item 1,Accessories,1,24.16,24.16,7.83,4.95,0.85
4,2024-10-01,Website,18,1006,Home Item 3,Home,3,55.45,166.35,80.18,7.9,5.82
5,2024-10-01,SocialAds,877,1015,Beauty Item 4,Beauty,1,39.66,39.66,18.16,4.65,1.98
6,2024-10-01,Website,700,1017,Sports Item 2,Sports,1,71.76,56.01,31.3,4.67,1.96
7,2024-10-01,Website,562,1000,Accessories Item 1,Accessories,1,24.39,24.39,7.9,4.2,0.85
8,2024-10-01,Marketplace,513,1000,Accessories Item 1,Accessories,2,25.78,51.56,16.7,6.15,6.19
9,2024-10-01,Marketplace,525,1018,Sports Item 3,Sports,1,58.13,58.13,32.5,5.14,6.98
10,2024-10-01,Website,583,1010,Electronics Item 3,Electronics,1,132.41,132.41,89.37,4.31,4.63
11,2024-10-01,Marketplace,893,1018,Sports Item 3,Sports,1,55.43,55.43,30.98,5.33,6.65
12,2024-10-01,Website,366,1006,Home Item 3,Home,4,54.89,219.57,105.83,9.0,7.68
13,2024-10-01,Website,166,1006,Home Item 3,Home,1,55.22,55.22,26.61,4.47,1.93
14,2024-10-01,Marketplace,515,1017,Sports Item 2,Sports,1,73.14,73.14,35.84,5.16,8.78
15,2024-10-01,Website,826,1018,Sports Item 3,Sports,1,59.71,59.71,33.38,4.64,2.09
16,2024-10-01,Website,445,1018,Sports Item 3,Sports,1,58.57,58.57,32.74,5.32,2.05
17,2024-10-01,SocialAds,653,1014,Beauty Item 3,Beauty,2,36.69,73.38,34.71,6.09,3.67
18,2024-10-01,Website,217,1001,Accessories Item 2,Accessories,2,27.77,55.53,20.44,6.83,1.94
19,2024-10-01,Website,1178,1014,Beauty Item 3,Beauty,1,37.15,37.15,17.57,5.58,1.3
20,2024-10-01,SocialAds,174,1002,Accessories Item 3,Accessories,1,23.46,23.46,9.92,5.54,1.17
21,2024-10-01,Website,379,1010,Electronics Item 3,Electronics,1,129.39,129.39,87.34,5.19,4.53
22,2024-10-01,Marketplace,1113,1011,Electronics Item 4,Electronics,1,120.92,120.92,79.69,5.62,14.51
23,2024-10-01,SocialAds,351,1011,Electronics Item 4,Electronics,1,111.59,111.59,73.54,5.34,5.58
24,2024-10-01,Marketplace,288,1002,Accessories Item 3,Accessories,1,23.16,23.16,9.8,4.89,2.78
25,2024-10-01,Marketplace,551,1010,Electronics Item 3,Electronics,4,127.68,510.71,344.73,8.61,61.29
26,2024-10-01,Website,908,1019,Sports Item 4,Sports,1,70.71,70.71,37.19,4.8,2.47
27,2024-10-01,SocialAds,949,1005,Home Item 2,Home,2,36.94,73.88,29.41,5.52,3.69
28,2024-10-01,Website,933,1002,Accessories Item 3,Accessories,1,22.71,22.71,9.61,4.66,0.8
29,2024-10-01,Website,1023,1006,Home Item 3,Home,2,52.35,104.7,50.47,5.95,3.66
30,2024-10-01,Marketplace,381,1014,Beauty Item 3,Beauty,1,38.83,38.83,18.37,4.86,4.66
31,2024-10-01,Website,34,1018,Sports Item 3,Sports,4,56.64,226.54,126.64,8.31,7.93
32,2024-10-01,SocialAds,1168,1000,Accessories Item 1,Accessories,2,25.9,51.8,16.78,5.56,2.59
33,2024-10-01,Marketplace,930,1011,Electronics Item 4,Electronics,2,111.45,222.9,146.89,5.63,26.75
34,2024-10-01,Website,77,1002,Accessories Item 3,Accessories,1,22.82,22.82,9.65,5.33,0.8
35,2024-10-01,Marketplace,649,1009,Electronics Item 2,Electronics,2,127.51,255.02,169.59,6.41,30.6
36,2024-10-01,Website,280,1008,Electronics Item 1,Electronics,1,111.23,111.23,72.08,4.73,3.89
37,2024-10-01,SocialAds,280,1005,Home Item 2,Home,1,36.99,36.99,14.72,5.26,1.85
38,2024-10-01,SocialAds,330,1015,Beauty Item 4,Beauty,1,39.29,39.29,17.99,4.83,1.96
39,2024-10-01,Website,10,1017,Sports Item 2,Sports,1,71.21,71.21,34.89,4.47,2.49
40,2024-10-01,Website,1055,1008,Electronics Item 1,Electronics,3,118.72,356.16,230.79,7.67,12.47
41,2024-10-01,Website,1065,1014,Beauty Item 3,Beauty,1,37.19,37.19,17.59,5.03,1.3
42,2024-10-01,Website,424,1003,Accessories Item 4,Accessories,1,22.44,22.44,7.52,4.43,0.79
43,2024-10-01,Website,1119,1003,Accessories Item 4,Accessories,1,22.71,22.71,7.61,4.27,0.79
44,2024-10-01,SocialAds,798,1006,Home Item 3,Home,2,51.05,102.1,49.21,6.44,5.11
45,2024-10-01,Website,2,1008,Electronics Item 1,Electronics,3,112.42,337.26,218.55,6.84,11.8
46,2024-10-01,Website,707,1012,Beauty Item 1,Beauty,4,37.86,151.45,58.61,9.03,5.3
47,2024-10-01,Website,230,1016,Sports Item 1,Sports,1,50.2,50.2,23.95,4.87,1.76
48,2024-10-01,Website,941,1011,Electronics Item 4,Electronics,1,119.9,119.9,79.01,4.94,4.2
49,2024-10-01,SocialAds,883,1013,Beauty Item 2,Beauty,1,31.15,31.15,13.02,4.63,1.56
50,2024-10-01,Website,452,1003,Accessories Item 4,Accessories,3,21.46,64.37,21.56,6.84,2.25
51,2024-10-01,Website,577,1004,Home Item 1,Home,1,50.82,50.82,21.7,5.31,1.78
52,2024-10-01,Website,749,1003,Accessories Item 4,Accessories,1,20.89,20.89,7.0,4.71,0.73
53,2024-10-01,SocialAds,945,1001,Accessories Item 2,Accessories,1,28.21,28.21,10.38,4.82,1.41
54,2024-10-01,Website,577,1002,Accessories Item 3,Accessories,4,22.19,88.77,37.55,8.4,3.11
55,2024-10-01,Marketplace,1152,1014,Beauty Item 3,Beauty,5,36.48,182.42,86.29,10.09,21.89
56,2024-10-01,Website,747,1019,Sports Item 4,Sports,1,70.24,70.24,36.95,4.7,2.46
57,2024-10-01,Website,1113,1018,Sports Item 3,Sports,1,57.84,57.84,32.33,4.81,2.02
58,2024-10-01,Website,353,1014,Beauty Item 3,Beauty,2,38.12,76.25,36.07,6.47,2.67
59,2024-10-01,Website,871,1018,Sports Item 3,Sports,6,60.37,362.21,202.48,11.52,12.68
60,2024-10-01,SocialAds,706,1001,Accessories Item 2,Accessories,1,27.7,27.7,10.2,5.37,1.39
61,2024-10-01,Marketplace,724,1014,Beauty Item 3,Beauty,2,39.32,78.65,37.2,6.4,9.44
62,2024-10-01,Website,193,1015,Beauty Item 4,Beauty,2,38.88,77.76,35.61,6.75,2.72
63,2024-10-01,Website,495,1014,Beauty Item 3,Beauty,1,39.55,39.55,18.71,4.71,1.38
64,2024-10-01,Website,1006,1009,Electronics Item 2,Electronics,1,124.35,124.35,82.69,4.77,4.35
65,2024-10-01,Website,1185,1008,Electronics Item 1,Electronics,3,122.21,366.63,237.58,6.74,12.83
66,2024-10-01,Marketplace,696,1004,Home Item 1,Home,1,51.44,51.44,21.96,4.55,6.17
67,2024-10-01,Website,962,1012,Beauty Item 1,Beauty,1,37.85,37.85,14.65,4.76,1.32
68,2024-10-01,Website,1167,1000,Accessories Item 1,Accessories,1,25.48,25.48,8.26,4.4,0.89
69,2024-10-01,Website,1133,1002,Accessories Item 3,Accessories,4,22.39,89.54,37.88,8.54,3.13
70,2024-10-01,SocialAds,502,1019,Sports Item 4,Sports,2,66.89,133.78,70.37,6.34,6.69
71,2024-10-01,Website,267,1003,Accessories Item 4,Accessories,1,22.09,22.09,7.4,5.16,0.77
72,2024-10-01,Website,476,1010,Electronics Item 3,Electronics,1,134.21,134.21,90.59,5.24,4.7
73,2024-10-01,SocialAds,515,1000,Accessories Item 1,Accessories,3,24.98,74.95,24.28,6.93,3.75
74,2024-10-01,Marketplace,215,1002,Accessories Item 3,Accessories,1,21.92,21.92,9.27,5.38,2.63
75,2024-10-01,Website,132,1008,Electronics Item 1,Electronics,3,120.21,360.63,233.69,7.48,12.62
