Date,AccountCode,AccountName,Type,Amount
2024-10-01,4000,Revenue,Revenue,10678.63
2024-10-01,5000,COGS - Merchandise,COGS,-6039.82
2024-10-01,5100,COGS - Shipping,COGS,-590.28
2024-10-01,5200,COGS - Platform Fees,COGS,-599.66
2024-10-02,4000,Revenue,Revenue,12082.0
2024-10-02,5000,COGS - Merchandise,COGS,-6524.83
2024-10-02,5100,COGS - Shipping,COGS,-722.45
2024-10-02,5200,COGS - Platform Fees,COGS,-762.49
2024-10-03,4000,Revenue,Revenue,9501.78
2024-10-03,5000,COGS - Merchandise,COGS,-5217.65
2024-10-03,5100,COGS - Shipping,COGS,-601.0
2024-10-03,5200,COGS - Platform Fees,COGS,-584.86
2024-10-04,5200,COGS - Platform Fees,COGS,-738.25
2024-10-04,5100,COGS - Shipping,COGS,-665.98
2024-10-04,4000,Revenue,Revenue,11106.58
2024-10-04,5000,COGS - Merchandise,COGS,-6011.16
2024-10-05,4000,Revenue,Revenue,14604.72
2024-10-05,5000,COGS - Merchandise,COGS,-7927.18
2024-10-05,5100,COGS - Shipping,COGS,-879.72
2024-10-05,5200,COGS - Platform Fees,COGS,-1010.8
2024-10-06,4000,Revenue,Revenue,15492.65
2024-10-06,5000,COGS - Merchandise,COGS,-8956.35
2024-10-06,5100,COGS - Shipping,COGS,-798.54
2024-10-06,5200,COGS - Platform Fees,COGS,-943.35
2024-10-07,5200,COGS - Platform Fees,COGS,-716.58
2024-10-07,4000,Revenue,Revenue,10763.19
2024-10-07,5000,COGS - Merchandise,COGS,-5976.02
2024-10-07,5100,COGS - Shipping,COGS,-633.58
2024-10-08,5200,COGS - Platform Fees,COGS,-797.71
2024-10-08,5100,COGS - Shipping,COGS,-702.25
2024-10-08,4000,Revenue,Revenue,12777.92
2024-10-08,5000,COGS - Merchandise,COGS,-7155.7
2024-10-09,4000,Revenue,Revenue,12351.3
2024-10-09,5000,COGS - Merchandise,COGS,-6683.7
2024-10-09,5100,COGS - Shipping,COGS,-788.52
2024-10-09,5200,COGS - Platform Fees,COGS,-628.58
2024-10-10,4000,Revenue,Revenue,9662.5
2024-10-10,5000,COGS - Merchandise,COGS,-5354.12
2024-10-10,5100,COGS - Shipping,COGS,-587.87
2024-10-10,5200,COGS - Platform Fees,COGS,-726.26
2024-10-11,5200,COGS - Platform Fees,COGS,-752.15
2024-10-11,4000,Revenue,Revenue,12141.6
2024-10-11,5000,COGS - Merchandise,COGS,-6370.3
2024-10-11,5100,COGS - Shipping,COGS,-741.68
2024-10-12,5200,COGS - Platform Fees,COGS,-812.84
2024-10-12,5100,COGS - Shipping,COGS,-803.74
2024-10-12,5000,COGS - Merchandise,COGS,-6077.02
